Row,Client,Service Order,New Service order,Engine Type,ESN,SOW,QTY,Part Name,Applicant,Part No.,Actual End,Cleaning,Inspection,Repair & Coating,Status,Remarks
143,Air 1,,560097,CFM56-3C1,858594,"Cleaning, Inspection, Repair",3,"LINER, INNER , LINER, OUTER, DOME",Engine Shop ,"1317M89G04, 1317M90G04, 1317M91G02",16/10/24,Completed,,,Cancelled,
144,KISH AIR,5026297,560117,CFM56-5B3/P,577867,"Cleaning, Inspection",2,"Support shroud, Case",Engine Shop,"2002M69G02, 1784M91G07",14/05/25,Completed,Completed,,Completed,"پا?ان بازرس?، در انتظار تأ??د اسکوپ تعم?ر توسط کارفرما"
145,Qeshm,,560208,CFM56-5B4/P,779213,"Cleaning, Inspection (FPI)",30,Nut,Engine Shop,1498M58P01,1/10/2024,Completed,Completed,,Completed,پا?ان بازرس?
148,GT 31,,,,,Cleaning,55,Standard Parts,Engine Design,,14/10/24,Completed,,,Completed,پا?ان تم?زکار?
149,GT 20,,,,,Cleaning,25,LPT Blade  Stage1,Engine Design,337-127-712,16/10/24,Completed,,,Completed,پا?ان تم?زکار?
150,Aseman,,560230,CFM56-5C2/F,740284,"Cleaning, Inspection",6,"Outer, inner, dome, inner cow, outer cowl",Engine Shop,List,2/3/2025,Completed,Completed,,Completed,"پا?ان تم?زکار?، ابلاغ بازرس?، پا?ان سندبلاست. اوتر کول بعد از انجام UT تحو?ل انبار فرد?س م? باشد. پا?ان بازرس? مورخ 1403/11/30، اعلام عدم ن?از به تعم?ر توسط موتور. قطعات موجود درانبار پ?ام."
151,ATA,,560223,JT8D,725883 ,"Cleaning, Inspection, Repair",6,3rd (5) & 4th (1) stg LPT Blade,معاونت کسب و کار,"798403, 822504",23/10/24,Completed,Completed,Completed,Completed,پا?ان بازرس? و تعم?ر.
152,کام?لا ن?کل آل?اژ,,560245,V2500,,Inspection,313,"HPT Duct segment stg 2 & 1, Inner liner, Blade HPT stg 2",ن?کل آل?اژ,List,5/11/2024,Completed,Completed,,Completed,پا?ان بازرس?
153,    Qeshm,,560207,CF6-80C2A,695372,695372,52,"HPT Shroud  Stage 2, HPT Vane Stage 2",Engine Shop 2,List,22/04/25,Completed,Completed,,,"پا?ان تم?زکار?، پا?ان بازرس? مورخ 1404/02/03"
154,   Taban,,560209,JT8D-219,725441,"Cleaning, Inspection, Repair",64,HPT Blade Stage 1,Engine Shop 2,List,23/02/25,Completed,Completed,Completed,Completed,"پا?ان بازرس?، تحو?ل NVO جهت تعم?ر، پا?ان تعم?ر، تحو?ل به تابان"
156,Air 1,,560255,CFM56-3C1,"858594, 858719","Cleaning, Inspection, Repair",163,"C.C, Blade LPT stg 3",معاونت کسب و کار,List,,Completed,Completed,,,"پا?ان تم?زکار?، پا?ان بازرس?، در مرحله تعم?ر مورخ 1403/11/15، قطعات 1317M90G04-1317M89G08-1317M58G02 برا? پوشش ارسال گرد?د. مابق? قطعات مورخ 1403/11/23 به ا?روان عودت گرد?د. پا?ان تعم?ر  ست اول محفظه احتراق مورخ 1403/12/12 و موجود در انبار فرد?س- تعم?ر بل?د است?ج 3 مانده است. قطعات ست اول به کپ ل?ست اضافه گرد?د. قطعات ست دوم در کپ ل?ست ن?ست"
157,ATA,,560223,JT8D,725883,"Cleaning, Inspection, Repair",4,3rd (2) & 4th (2) stg LPT Blade,معاونت کسب و کار,"798403, 822504",,Completed,Completed,,,"پا?ان بازرس?، ارسال به NVO جهت تعم?ر"
159,کام?لا ,,"560260, 560261",JT8D,,"Cleaning, Inspection",172,"HPT-BLADE STG1 (80), NGV-STG1 (46+46)",NDT-QC,799191,,Completed,Completed,,,"پا?ان بازرس? 46 عدد NGV  و صدور فرم 1، 29 آذر تحو?ل  مشتر? شده است"
160,Qeshm ,,560214,CFM56-5B4/P,779221,Cleaning,2509,Standard Parts,Engine Shop,List,20/11/24,Completed,,,Completed,پا?ان تم?زکار?
161,LLP (شاهد shahed),,520031,JT8D-219 ,728135,"Cleaning, Inspection",4,"Shaft, disk",Engine Shop 2,"5000923-01, 777622, 777603, 800804",,Completed,Completed,,,تست اد? کارنت و سخت? سنج? د?سک است?ج 4 انجام شد
162,Aseman,"5025213, 5026221",560102-560139,CFM56-5C2F,"740178, 740107","Cleaning, Inspection, Repair",3,"C.C: Outer, Inner, Dome",معاونت کسب و کار,"1968M64G01, 1968M44G06, 1561M26G05",,Completed,Completed,,,"در مرحله تعم?ر، جاب کارد تعم?ر ارسال شده است ."
163,Purchased parts (NVO),,560256,JT8D-217,,"Cleaning, Inspection",146,LPT Blade stg 3 & 4,معاونت کسب و کار,"798403, 822504",9/11/2024,Completed,Completed,,Completed,در انتظار صدور سرو?س اوردر
164,Aseman,,560230,CFM56-5C2/F,740284,Cleaning,358,Standard Parts,Engine Shop,List,9/12/2024,Completed,,,Completed,
165,Aseman,,560230,CFM56-5C2/F,740284,"Cleaning, Inspection, Repair",1,"MANIFOLD, ASSY-CLG",Engine Shop,337-099-110-0,12/3/2025,Completed,Completed,,Completed,"پا?ان تم?زکار?، پابان بازرس? در تار?خ 1403/10/22- جاب کارد تعم?ر به تعم?رات ابلاغ گرد?د. عدم امکان تعم?ر داخل? و عودت قطعه به فرد?س"
166,Aseman,,560230,CFM56-5C2/F,740284,"Cleaning, Inspection (FPI)",93,"Shaft, Blade stg 1 & 2, Seal",Engine Shop,List,13/01/24,Completed,Completed,,Completed,"پا?ان تم?زکار?، در مرحله بازرس?، در انتظار تأم?ن تنخواه? متر?ال ر?مو رابر"
167,Qeshm ,,560267,CFM56,779913,"Cleaning, Inspection, Repair",1,HPT FRONT SHAFT           ,معاونت کسب و کار,1498M40P05,7/11/2024,Completed,Completed,,Completed,
168,Zagros,,560162,JT8D-217C,726987, Inspection,146,LPT Blade stg 3 & 4,Engine Shop,"798403, 822504",15/03/25,Completed,Completed,Completed,Completed,جاب کارد تعم?رات سا?ن گرد?د.
170,GT 22,,,,,Cleaning,5,Disk,Engine Design,List,26/11/24,,,,Completed,
171,Zagros,,560162,JT8D-217C,726987, Inspection (FPI),150,"Vane, Disk",Engine Shop,List,2/2/2025,Completed,Completed,,Completed,"پا?ان تم?زکار?، پا?ان بازرس?، و?ن ها به فرد?س عودت گرد?د، تم?زکار? بعد از FPI د?سک ها باق? مانده است."
172,Zagros,,560161,JT8D-217A,717439, Inspection (FPI),72,"Vane, Disk",Engine Shop,List,20/01/25,Completed,Completed,,Completed,"پا?ان تم?زکار?، پا?ان بازرس?، و?ن ها به فرد?س عودت گرد?د. تم?زکار? بعد از FPI د?سک ها مانده است."
173,Air 1,,560097,CFM56-3C1,858594,"Cleaning, Inspection (FPI)",1,HPT FRONT SHAFT ,Engine Shop,1385M90P04,18/12/24,Completed,Completed,,Completed,پا?ان تم?زکار? و بازرس?
174,Sahand Asia,,560021,JT8D-219,-,"Cleaning, Inspection, Repair",10,LPT Blade stg 3 & 4,معاونت کسب و کار,"798403, 822504",17/02/25,Completed,Completed,Completed,Completed,پا?ان بازرس? و تعم?ر
175,Taban,,560224,CFM56-3C1,858811,Cleaning,6013,Engine/Module Part List,Engine Shop,List,29/01/25,Completed,,,Completed,
176,Aseman,,560230,CFM56-5C2/F,740284,"Cleaning, Inspection",80,"BLADE, HPT ROTOR",Engine Shop,2080M81P01,13/01/25,Completed,Completed,,Completed,پا?ان بازرس?
177,Aseman,5025213,560102,CFM56-5C,740178,Inspection,80,HPT BLADE,Engine Shop,2080M81P01,3/2/2025,Completed,Completed,,Completed,پا?ان بازرس?
178,Qeshm ,,560286,CF6,,"Cleaning, Inspection",113,"HPT Vane (24), HPT Blade (89)",معاونت کسب و کار,List,2/3/2025,Completed,Completed,,Completed,"پا?ان بازرس?، در انتظار تأ??د تعم?ر توسط کارفرما"
179,Iran Air tour,,560229,JT8D,718555 ,"Cleaning, Inspection, Repair",8,LPT Blade stg 3 & 4,معاونت کسب و کار,"798403, 822504",12/2/2025,Completed,Completed,Completed,Completed,به درخواست آقا? رضا?? به سرو?س اوردر 560229 اضافه گرد?د. پا?ان بازرس? 1/13/2025- جاب کارد تعم?ر آماده است. پا?ان تعم?ر مورخ 1403/11/24
180,Taban,Part 1,560224,CFM56-3C1,858811,Inspection FPI,1414,"Blade, Nozzle, Standard Part",Engine Shop,List,4/2/2025,Completed,Completed,,,پا?ان بازرس? FPI و تحو?ل قطعات به فرد?س
181,Meraj,,560005,CFM56-5B5/P,575649,Repair (Tack weld),1,"COMBUSTION, CHAMBER ASSY",Engine Shop,1968M41G03,27/01/25,,,Completed,,ن?از به 80 عدد  Tack Weld  ب?ن Head Bolt ها? متصل شده به Outer liner و Inner cowl دارد
182,Meraj (Paya soroush),,560292,TAY650,,"Cleaning, Inspaection",25,HPT NGV,معاونت کسب و کار,JR34272A,13/01/25,Completed,Completed,,Completed,فرم 1 صادر گرد?د
183,Air 1,,560097,CFM56-3C1,858594,Coating,80,OGV,Engine Shop,"335-034-621-0, 335-034-623-0",,Completed,Completed,,,"پا?ان تم?زکار?، پا?ان بازرس? چشم?، ضرورت پوشش بردار? جهت FPI، طولان? بودن زمان تأم?ن مواد اول?ه خارج? جهت اعمال پوشش پل? اورتان "
184,Qeshm ,,560262,CFM56-5B4/P,779225,Cleaning,80,HPT Blade,Engine Shop,2100M96P02,25/01/25,Completed,,,Completed,
185,GT 22,,,,,Cleaning,1,"Housing, Compressor Front Bearing",GT 22,R-2-100-250-07,5/4/2025,Completed,,,,
187,Chabahar,RO-1403-668,560305,JT8D,,"Cleaning, Inspection",146,LPT Blade stg 3 & 4,معاونت کسب و کار,"798403, 822504",8/2/2025,Completed,Completed,,Completed,
188,Kish Air,"5025649, 5026042, 5026346, 5025851","560306, 560141, 560119, 560136",CFM56-5B,,"Cleaning, Inspection, Repair",72,"HPT Nozzle (12), LPT Nozzle (15), HPT Shroud (42), Dome (2), Outer Liner (1)",معاونت کسب و کار,,,Completed,completed,,," پا?ان بازرس? قطعات، ?ک? از دام ها تعم?ر سنگ?ن? دارد. ابلاغ اوتر لا?نر و دام به تعم?رات. دو عدد LPT Nozzle segment stg 1 با پارت نامبر 338-108-608-0 خارج از حد تعم?ر م? باشند. ?ک دام در کپ ل?ست ن?ست- عدم امکان تعم?ر LPT Nozzle در تعم?ر قطعه- عدم امکان تعم?ر HPT Nozzle"
189,GT 20,,510001,CFM56-5B,,Sandblast,1,1st Stage LPT Blade,GT 20,337-127-712-0,17/02/25,Completed,,,,
191,Qeshm,,560262,CFM56-5B4/P,779225,"Cleaning, FPI",1,HPT FRONT SHAFT ,Engine Shop,1498M40P05,5/3/2025,Completed,Completed,,Completed,
192,Qeshm,,560262,CFM56-5B4/P,779225,Inspection FPI,2,"Duct, Retainer",Engine Shop,List,12/3/2025,,Completed,,Completed,"به دل?ل عدم امکان پوشش بردار? و پوشش، 309 قطعه د?گر پروژه بدون بازرس? به موتور عودت گرد?د."
193,Taban,,560224,CFM56-3C1,858811,Inspection FPI,208,"Seal, Slide, …",Engine Shop,List,25/02/25,Completed,Completed,,Completed,اجرا? بازرس? FPI توسط واحد NDT آقا? معصوم پرست انجام گرد?د. تم?زکار? پس از FPI توسط موتور انجام گرد?د.
194,GT 20,,,,,Inspection,1,LPT Blade,NDT-QC,337-127-712-0,14/04/25,,Completed,,Completed,توسط پرسنل NDT با تجه?زات تعم?رقطعه سطح ا?رفو?ل بازرس? گرد?د.
195,Qeshm,,560208,CFM56-5B4/P,779213,"Cleaning, Inspection, Repair",35,HPT Blade,Engine Shop,2100M96P02,,Completed,,,,"پا?ان تم?زکار?، در مرحله بازرس?، ن?ازمند اچ و شات پ?ن"
196,Qeshm,,560262,CFM56-5B4/P,779225,"Cleaning, Inspection, Repair",44,HPT Blade,Engine Shop,2100M96P02,,Completed,,,,"پا?ان تم?زکار?، در مرحله بازرس?، ن?ازمند اچ و شات پ?ن"
197,560187,,560173,JT8D-219,709737,"Cleaning, Inspection, repair",146,LPT Blade stg 3 & 4,Engine Shop,"798403, 822504",,Completed,,,,"پا?ان تم?زکار?، بازرس? پ?شرفت 90%"
198,Kish Air,,560173,JT8D-219,709737,"Cleaning, Inspection",67,"Disk 3 & 4, Vane 2, 3 & 4",Engine Shop,List,,Completed,,,,"پا?ان تم?زکار?، بازرس? پ?شرفت 10%"
199,GT 20,,510001,CFM56,,Sandblast,1,1st Stage LPT Blade,NDT-QC,337-127-712-0,24/04/25,Completed,,,Completed,
200,Kish Air,5025293,560141,CFM56-5B ,577860,"Cleaning, Inspection",8,"LLP (Booster Spool, Fan shaft,..)",Engine Shop,List,,,,,,در مرحله تم?زکار?
202,Taban,,560332,JT8D219,,"Cleaning, Inspection, Repair",64,HPT Blade Stage1,معاونت کسب و کار,856101,,Completed,,,,"پا?ان تم?زکار? و سندبلاست، در مرحله بازرس?"
205,GT 20,,,,,"Cleaning, Inspection (FPI-4)",3,LPT Blade stg 3,NDT-QC,337-127-712-0,14/05/25,Completed,Completed,,Completed,
206,Zagros,5026220,560140,CFM56-5B4/P,779245,"Cleaning, Inspection, Repair",80, HPT Blade (80) ,Engine Shop,1957M10P03,,,,,,در مرحله اد? کارنت
207,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,
Sum,-,-,,-,,-,68534,-,,,-,,,,0,-
Count,104,-,,104,,SOW,-,-,,,-,,,,0,-
