Row,Client,Service Order,New Service order,Engine Type,ESN,SOW,QTY,Part Name,Applicant,Part No.,Actual End,Cleaning,Inspection,Repair & Coating,Status,Remarks
45,Fars Co 5th,S-10022,560021,JT8D,"725973, 717475","Cleaning, Inspection (VT, DT, FPI), Repair",204,"LPT Blade stg 3 (88), 4 (116)",معاونت کسب و کار,"798403, 822505",21/08/24,Completed,Completed,Completed,Completed,"پا?ان تعم?ر، عل? بابا تعم?ر (58+57)، ا?رتور(50)."
46,Apadana,5025973,560114,V2500,,Cleaning,244,"TURBINE STAGE NOZZLE, Case LpT",Engine Shop,List,23/05/24,Completed,,,Completed,پا?ان تم?زکار?
47,Aseman,5025213,560102,CFM56-5C2/F,,"Cleaning, Inspection (FPI)",614,HPC Blade,Engine Shop,List,28/07/24,Completed,Completed,,Completed,پا?ان بازرس?
48,Sepahan,Donator,,CFM56-5A1/F,,"Cleaning, Inspection",80,"BLADE, HPT ROTOR",Engine Shop,2080M87P04,,Completed,Completed,,,"اعلام نتا?ج بازرس?، ارسال به NVO جهت تعم?ر. جاب کارد تعم?ر توسط خانم رب?ع? آماده است."
49,Sepahan,S-10005,560004,CFM56-5A3,731548,"Cleaning, Inspection",13,"BLADE, HPT ROTOR",Engine Shop,2080M87P07,9/12/2024,Completed,Completed,,Completed,پا?ان بازرس?
50,Sepahan,S-10007,560006,CFM56-5A3,,"Cleaning, Inspection",67,"BLADE, HPT ROTOR",Engine Shop,2080M87P04,,Completed,Completed,,,"اعلام نتا?ج بازرس?، ارسال به NVO جهت تعم?ر. جاب کارد تعم?ر توسط خانم رب?ع? آماده است. ?ک عدد عودت جهت بازرس? پس از تعم?ر"
51,Sepahan,S-10019,560018,CFM56-5A3,731878,"Cleaning, Inspection",86,"BLADE, HPT ROTOR, linner, outer, cowl, dome, nut",Engine Shop,List,11/6/2024,Completed,Completed,,Completed,پا?ان بازرس?
52,Air 1,S-10014,560013,CFM56-3C1,,"Cleaning, Inspection",4,"Shaft, Seal, RETAINER, BLADE HPT RTR REAR & Front",Engine Shop,List,27/05/24,Completed,Completed,,Completed,پا?ان بازرس?
53,Sepahan,S-10007,560006,CFM56-5A3,731585,"Cleaning, Inspection (FPI)",1,"DISK, ASSY-FAN",Engine Shop,336-018-165-0,19/05/24,Completed,Completed,,Completed,پا?ان بازرس?
55,GT 25,,,JT8D,,"Cleaning, Inspection, ",13,"LPT VANE STAGE 3 & 4 (10), LPT Blade stg 3 (3)",Engine Shop,List,,Completed,Completed,,Completed,در انتظار تأ??د هز?نه تعم?ر توسط کارفرما (مهندس خوشدل)
56,Meraj,S-10006,560005,CFM56-5B5/P,,Cleaning,2152,List,,List,19/02/24,Completed,,,Completed,پا?ان تم?زکار?
57,Zagros,S-20003,560029,CFM56-5A,731805,"Cleaning, Inspection (FPI-4)",1,"SEAL, ROTAITING AIR REAR",Engine Shop, 1359M86P03,10/3/2024,Completed,Completed,,Completed,پا?ان بازرس?
58,Sepahan,S-10007,560006,CFM56-5A3,731585,"Cleaning, Inspection (FPI)",66,"BOLT, SHEAR DBL HEX HD",Engine Shop,"J818P060A , J816P063A",26/05/24,Completed,Completed,,Completed,پا?ان بازرس?
59,Meraj,S-10006,560005,CFM56-5B5/P,,"Cleaning, Inspection, Repair",43,"Shroud, HPT Stator (42), CVT support (1)",Engine Shop,"2080M28P02, 337-111-903-0",,Completed,Completed,,,"اتمام بازرس? CVT. ابلاغ تعم?ر شرادها به واحد تعم?رات، تأ??د پوشش HVOF. مورخ 1403/11/15 تعداد 5 عدد برا? پوشش به اصفهان ارسال گرد?د که مورخ 1403/11/28 در?افت گرد?د."
60,Meraj,S-10006,560005,CFM56-5B5/P,,"Cleaning, Inspection",614,HPC Blade STG 1-9 ,Engine Shop,List,20/07/24,Completed,Completed,,Completed,پا?ان بازرس?
61,"Apadana, Meraj","5025896, 5025755, 5025872 ",560109,V2500,,"Cleaning, Inspection, Repair",143,"HPT vane satg 1 (51+28), HPT blade stg 1 (48+16)",,"2A4201, 2A9201",7/9/2024,Completed,Completed,Completed,Completed,پا?ان تعم?ر
62,GT 20,,,,,Sandblast,12,HPT Blade,Engine Construct,,16/05/24,Completed,,,Completed,پا?ان سندبلاست
63,Sepahan,S-10019,560018,CFM56-5A3,731878,Cleaning,2451,Parts list,Engine Shop,List,28/05/24,Completed,,,Completed,پا?ان تم?زکار?
65,,,,V2500,,Cleaning,2,1ST STG HPT SHROUD,Mechanic,-,23/05/24,Completed,,,Completed,پا?ان تم?زکار?
66,Qeshm ,S-10009,560008,CF6-80C2,,"Cleaning, Inspection, Repair",28,"HPT Blade Stg.1 (18), HPT NGV2 (7), C.C (3 set)",معاونت کسب و کار,List,10/4/2025,Completed,Completed,,,پا?ان بازرس?. جاب کارد تعم?ر اوتر لا?نر آماده است. سه عدد اوتر کل پس از UT تحو?ل انبار فرد?س م? باشد.
68,Sepahan,S-10019,560018,CFM56-5A3,731878,Cleaning,1969,"LPT Rotor/Stator Part List, HPT Shroud & LPT Nozzle 1 Part List",Engine Shop,,23/07/24,Completed,,,Completed,پا?ان تم?زکار?
69,Meraj,S-10006,560005,CFM56-5B5/P,,Cleaning,2,"CASE, CPRSR STTR REAR, Front",Engine Shop,"1559M40G03, 1559M30G06",29/05/24,Completed,,,Completed,پا?ان تم?زکار?
70,Meraj,S-10006,560005,CFM56-5B5/P,,"Cleaning (is Done), inspection, Repair",6,"Bracket, Tube, ..",Engine Shop,List,28/09/24,Completed,Completed,Completed,Completed,پا?ان تعم?ر
71,GT 25,,,,,"Cleaning, Inspection (FPI)",2,Blade turbine 3rd stg,NDT-QC,B 803003,6/7/2024,Completed,Completed,,Completed,پا?ان بازرس?
72,Sahand Asia,-,560217,JT8D,,"Cleaning, Inspection, Repair",78,2nd stg. LPT Blade,معاونت کسب و کار,800002,8/9/2024,Completed,Completed,,,"پا?ان بازرس?، جاب کارد تعم?رات دارد. قطعات مورخ 1403/12/12 به NVOجهت تعم?ر ارسال گرد?د."
73,GT 25,,,JT8D,,"Cleaning, Inspection (FPI)",8,Blade turbine 3rd stg,NDT-QC,"B 803003, 822504",6/7/2024,Completed,Completed,,Completed,پا?ان بازرس?
